,comment,true_label,predicted_value,predicted_label
4,T□T|⚃T|⚁T|⚂T|⚂p|⚄T|⚃r⚀Tr|⚁T|⚁r⚀T|⚃r|⚄p|⚃p|⚄p|⚄r|⚂T|⚂T|⚄r|⚄p|⚁T|⚂T,0,0.8082667589187622,1
6,T⚀T|⚁T|⚁T□T|⚁T□T|⚁T⚀T|⚀T|⚁T|⚀T|⚀T⚀TT|⚁T|⚁T|⚀T⚀T|⚁T□T|⚁T|⚁T|⚁T|⚀T|⚂T|⚁T|⚀T|⚁T|⚁T□T|⚁T|⚁T□T|⚁T|⚁T|⚁T|⚁T⚀TT|⚀T⚀T|⚁T|⚁T|⚁T|⚀T|⚁T|⚁T|⚁T|⚁T|⚁T|⚀T|⚁T|⚁T|⚁T|⚁T|⚁TT|⚁T|⚁T|⚁T|⚂T|⚂T|⚁T|⚁T⚀T|⚁T|⚀T⚀T|⚁TT|⚁T|⚂T|⚁T|⚁T|⚀T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T□T|⚂T|⚂T|⚁T|⚁T|⚁T|⚁T|⚁T|⚂T□T|⚂T|⚂T|⚁T|⚁T□T|⚂T|⚁T|⚁T|⚂T□T|⚁T|□T|⚁T|⚁T|⚂T□T|⚁T|⚂T□T|⚂TT|⚁T□T⚀T□T|⚂T|⚀T|⚂T⚀T□T|⚁T□T|⚁T|⚂TT|⚂T|⚁T□T|⚁T|⚁TT|⚂T|⚄T|⚄T⚀T□T|⚀TTT|⚂TT|⚁T|⚁TT|⚁TT|⚀T|⚁T|⚁T|⚁TT□T|⚁TT|⚁TTT|⚁T|⚀T|⚁T|⚁T|⚂TTT|⚁T|T|⚂T□T|⚁T|⚂TT|⚂TT|⚂TT|⚁T|⚀T|⚂TT|⚁TT|⚂TT|⚁T|⚁T|⚁T|⚂T□T|⚃T□T|⚄T⚀T⚀T|⚂T|⚁T|⚂TT|⚁T,1,0.39501693844795227,0
21,T□TT⚀T□T□TT□TTTTT□T□T|⚁T□T□T□T⚀TT□T|□T⚀T⚀TT⚀TT□T□T⚀TT□T|⚀T|⚂T|⚁T|⚁T⚀T|⚁T|⚀T|⚂T|⚂T|⚃T|⚁T|⚃T|⚃T|⚁T|⚃TT|⚁T|⚂T|⚂p⚀T□T|□T□T⚀T|⚀T|⚁T⚀T|⚂T|⚃T⚀T□T⚀T|⚂T|⚃T⚀T|⚂T□T□T□T□T⚀T⚀T□T|⚂T⚀T⚀T|⚂T|⚁T|⚃TT□T|⚂T|⚁T|⚁T|⚁T|⚃T⚀T□T□T□T□T□T|□TT⚀T⚀TT□TT□T□T□T⚀T□TT□T□T□T□T□T□T|□T□T□T□T⚀T⚀T|⚂T|⚂T|⚁T⚀T|⚁T|⚂T|⚁T⚀T□T|⚁T|⚁T|⚂T|⚂T|⚂T|⚂T⚀T|⚂T|⚀T|⚂T|⚁TT□T|⚀T|⚀T|⚂T|⚁T|⚁T|⚄T|⚂T|⚃T|⚁T|⚂T|⚂TTT|⚀T|⚂T|⚃T|⚂T|⚃T|⚃T|⚁T|⚃T|⚂T⚀T|⚃T|⚂T|⚂T|⚂T|⚂T|⚂T|⚂T|⚁T|⚂T⚀T|⚂T⚀T|⚂T|⚃T|⚁TT|⚀T|⚂T|⚃T|⚄T|⚂T|⚃T|⚂T|⚂T⚀r|⚁T|⚁T|⚂T|⚂T|⚂T|⚃TT|⚂T|⚃T|⚄T|⚃T,0,0.6598563194274902,1
24,T|⚂T⚀T|⚁T|⚄T|⚃T|⚂T|⚃T|⚄T|⚂T|⚃T⚀T⚀T□T|⚁T|⚁T|⚁T□T|⚁T⚀T□T|⚁T|⚁T|⚂T|⚁T|⚁T|⚀T⚀T|⚂T□T|⚂TT□TT⚀T|⚁T|⚁T|⚂T⚀T□T|⚁T|⚂T|⚂T|⚁T|⚂T|⚁T|⚁T|⚂T⚀T|⚁T□T|⚁T|⚁T|⚁T□TT⚀T□T|⚁T⚀T|⚁T|⚁T|⚁TT|⚂T|⚁T|⚂TT|⚁T|⚁T|⚂T|⚁T|⚂T|⚀T|⚂T□T|⚁T|⚁T|⚁T⚀T|⚁TT|⚁T□T⚀T|⚁T|⚁T|⚁T□T□T|⚁T|⚁T|⚁T|⚁T|⚂TT|⚁T|⚁T|⚁T|⚂T□T|⚁T|⚀T|⚁T|⚂TT|⚂T|⚂T|⚁T⚀T|⚀T|⚁T|⚁T|⚁T|⚂T|⚂T|⚁T|⚁T|⚂T|⚀TTTTT|⚂T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁TT|⚀T|⚀T|⚁T|⚁TT|⚁T|⚁T⚀T|⚁T|⚀T|⚁T|⚂T|⚁T|⚁T|⚂T|⚁T|⚁T|⚁T|⚂T|⚂T□T|⚁T|⚁T|⚁T|⚁T⚀T⚀T|⚀T|⚁T|⚀T|⚁T|⚁T|⚀T|⚁T⚀T|⚁T|⚁T|⚁T|⚁T|⚁T⚀T|⚀T|⚁T□T□T|⚁T|⚁T|⚁T|⚁T|⚁T⚀T|⚂T|⚁T⚀T|⚁T⚀T|⚂T|⚀T|⚁T|⚂T|⚂T|⚂T|⚂T|⚂T|⚁T|⚂TT|⚁T,0,0.6614854335784912,1
27,T□T|⚁T|⚂T⚀T⚀T□TTT|⚀TTT□T⚀T|⚀T|⚀T⚀TT|⚂T|⚁T□T|⚁TT|⚀T|⚂TT|⚂T|⚁T|⚂T|⚂T⚀TTT|⚂T|⚁T|⚁T|⚂T|⚁TT□T□T|⚁T□T|⚀TT|⚂T⚀T|⚁T|⚁T|⚁T□T⚀T□T|⚂T|⚁T⚀T|⚂T|⚂T|⚁T|⚂T|⚂T|⚂r|⚂T|⚂T|⚂r|⚂T|⚀T|⚂T|⚂T|⚁T|⚁T|⚃T|⚂T|⚁T|⚃T|⚃T□T⚀T□TT□T⚀T□T|⚀T|⚂T|⚁T⚀T□T⚀T□T|⚁TT□T|⚀T|⚂T|⚃T|⚁T|⚁T|⚁T⚀T⚀T⚀T|⚁T|⚁T|⚂T|⚂T□T⚀T⚀T|⚂T|⚂T□T|⚀T|⚂T⚀TT|⚂T|⚂T⚀TT□T⚀T⚀TT|⚂T|⚁T|⚂T|⚁T□TT|⚂T|⚂T|⚁T|⚀T|⚂T|⚂T□T□TT|⚁T|⚁T|⚁T|⚂T|⚃T□T|⚂TT|⚂T|⚃T|⚃T|⚃T|⚃T|⚂T|⚂T|⚁T|⚂T|⚃T|⚂T|⚂T|⚃T|⚁T|⚂T|⚃T|⚂T⚀TT|□T⚀T□T⚀T|⚂T⚀T⚀T|⚁TT|⚁T⚀T□T□TTTT⚀T|⚁T|⚁T|⚁T|⚁T|⚃T|⚂T|⚃T□T|⚁T|⚁T|⚁T|⚃T|⚁T□T|⚁T|⚁T|⚃T,0,0.5619854927062988,1
31,T|⚁TTT|⚂TTT|⚂TTT|⚁TTT|⚂TT|⚁TT|⚂TTT|⚁T|⚂TTT|⚂TTT|⚁TT|⚂TTT|⚂TTT|⚁TT|⚂TTT|⚁T|⚂TTT|⚂TTT|⚁TTT|⚂TTT|⚂TTT|⚁TTT|⚂TTT|⚁T|⚂TTT|⚁TT|⚂TTT|⚂TTT|⚁TTT|⚂TTT|⚂TTT|⚁TTT|⚂TTT|⚁T|⚂TTT|⚁T|⚂TTT|⚁TTT|⚂TTT|⚁T|⚂TTT|⚁T|⚂TTT|⚂TTT|⚂TTT|⚁T|⚂TTT|⚁TTT|⚂TTT|⚂TTT|⚁TTT|⚂TTT|⚁TTT|⚂TTT|⚁TTT|⚂TTT|⚂TTT|⚂TTT|⚁TTT|⚂TTT|⚂T|⚁TTT|⚂TTT|⚁TTT|⚂TTT|⚁TT|⚂TTT|⚁TTT|⚂TTT|⚂TTT|⚁TTT|⚂TTT|⚁T|⚂TTT|⚁TT|⚄T,1,0.2544228136539459,0
37,rrrrrrpprrrrr□prrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrprrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr□rr□r⚀r⚀pp□rp⚀p□p□pp|⚀p|⚀p□r|⚁r□r⚀r⚀p|⚀r,1,0.15896019339561462,0
40,r□r|⚁r|⚀r|⚁r⚀r|⚁r⚀r|⚀r⚀r|⚁r|⚁r|⚁r|⚁r⚀r|⚁r|⚁r|⚁r|⚁r|⚁r|⚁r|⚁r⚀r|⚁r|⚁r□rr⚀rr□r□r□r□r□r□r|□r□rr□r□r⚀r|⚁r|⚁r|⚀r|⚁r|⚁r|⚀r□rr|⚁r|⚁r|⚁r|⚀r|⚁r|⚁r|⚁r⚀r|⚁r⚀rr|⚁r|⚁r|⚁r⚀r|⚁r|⚁r|⚀r|⚁r|⚁r|⚁r|⚁r|⚁r|⚀r⚀r|⚁r|⚀r⚀r⚀r⚀r|⚀r⚀r⚀r⚀r⚀r|⚀r|⚁r|⚁r□r|⚁r|⚀r|⚁r|⚁r|⚁r|⚁r|⚀r|⚁r⚀r|⚀r|⚁r⚀r|⚁r□r|⚁rr|⚁r|⚁r|⚁r|⚁r|⚁r|⚀r⚀r⚀r⚀r|⚁r|r|⚁r|⚀r|⚁r|⚀r□r⚀r□r⚀r|⚁r⚀r|⚁r|⚁r□r|⚀r|⚁r|⚁r|⚁r□r|⚁r|⚀r|⚀r|⚁r|⚀r|⚁r|⚁r|⚀r⚀r|⚁r□r⚀r□r|⚁r|⚂r|⚁r|⚁rr|⚀r⚀r|⚁r|⚁r|⚂r|⚁r⚀r|⚀r|⚁r|⚂rr□r|⚁r|⚂r|⚁r|⚂rr⚀r⚀r|⚂r|⚁r|⚁r|⚁r|⚁r|⚁r|⚁r□r|⚁rr|⚁r|⚁r|⚁r,0,0.8798547387123108,1
43,T⚀T|⚁T⚀T|⚁T|⚁T|⚁T|⚁T|⚀T|⚁T|⚀T|⚁T|⚁T|⚀T|⚁T|⚀T|⚁T|⚂T|⚁T⚀p|⚀T|⚁p⚀T|⚁T|⚁T|⚀T|⚁T|⚁T|⚀T|⚁TT|⚁T|⚀T|⚁T|⚁T|⚀T|⚀T|⚁T|⚁T|⚁T|⚀T|⚀T|⚁T|⚁T|⚂T|⚁T|⚀T|⚀T|⚂p⚀T|⚀T|⚁T|⚁T|⚁T□p|⚂T|⚀T|⚀T|⚁T|⚁T|⚁T|⚁T⚀p|⚁T|⚂T|⚁T|⚁T|⚁T|⚁T|⚂T|⚂T|⚂T|⚁T|⚁T|⚂T|⚁T|⚁T|⚁T|⚁T□T⚀p|⚁T|⚂T|⚁T|⚂T⚀T|⚂T|⚂T|⚂T|⚂T|⚂T|⚂T|⚁T|⚀T|⚂T|⚂T|⚁T⚀T|⚀T|⚁T|⚁T|⚀T|⚁T|⚁T|⚀T⚀T|⚁T|⚂T|⚁T|⚂T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚂T|⚀T⚀T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚀T|⚁T|⚁T|⚁T|⚀T|⚁T|⚀T|⚂T|⚂T|⚁T|⚁T|⚁TT|⚀T|⚁T|⚀T|⚁T|⚀T|⚁T|⚀T|⚁T|⚀T|⚁T|⚁T|⚁r□T|⚂T|⚁T|⚁T|⚁p|⚁T|⚁T|⚁T|⚁p|⚀T|⚀T⚀T|⚁T|⚁T|⚁T|⚁T|⚁T|⚀T|⚁T|⚁T|⚁T|⚁p|⚁T|⚀T|⚁T|⚁Tp|⚂T|⚁T|⚁T|⚂T|⚁T|⚁r|⚁T|⚀T|⚁T|⚂T|⚁T|⚁T|⚁T|⚂T|⚁T|⚀T⚀T|⚁T|⚀T|⚂T|⚀p|⚁p|⚀p,1,0.278473436832428,0
49,T⚀T|⚀T⚀T⚀T|⚁T|⚀T|⚁T|⚀T|⚁T|⚁T|⚁T|⚁T|⚂T⚀T□p|⚁T⚀r⚀T⚀T□T□T|⚁T|⚁p□pr⚀p⚀p|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚂T|⚂T⚀T|⚂T|⚂T|⚁T|⚁T|⚁pp|⚂T|⚁T|⚂T|⚂T|⚂T|⚂T|⚁T|⚁p|⚃T|⚁T⚀T|⚂T|⚃T|⚁T|⚁T|⚀T|⚁T|⚂T|⚁T□T⚀T|⚂T|⚂T|⚄T|⚂T|⚂T|⚁T⚀T|⚂T|⚁T□T□T|⚁T|⚁T|⚁T⚀p|⚂T|⚂p□p□p|⚂T|⚂T|⚃T|⚁T|⚂T|⚁T|⚂T⚀p|⚁p□T|⚂T|⚂T□T|⚁T|⚁T⚀r|⚂T|⚁T|⚁T|⚁T|⚂T|⚂T⚀p|⚂T|⚂T|⚂T|⚄T|⚂T|⚁T|⚀T|⚁T|⚃T|⚂T|⚂T|⚂T□p|⚂T|⚂T|⚁T|⚂p|⚂T|⚁p|⚂T□p|⚁T|⚃T|⚀T|⚁T□T|⚁p|⚁p|⚁p□T|⚂T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚂T|⚂T|⚁T|⚁T|⚁T|⚂T|⚂T|⚂T|⚂T⚀T|⚂T|⚁T|⚁T|⚃T|⚁T|⚃T□T|⚄T□T|⚄T|⚂T|⚂T|⚂T|⚂T|⚃T|⚁T|⚁T|⚂T|⚂T|⚂T|⚁T|⚁T|⚂T⚀T|⚂T⚀T|⚁T|⚀T|⚂T|⚂T|⚀T|⚂T|⚂T|⚂T|⚁T⚀T|⚁T|⚂T|⚂T⚀T|⚁Tr|□r|⚂T|⚂T|⚂T|⚃T,0,0.6102691292762756,1
51,r|⚁r□r|⚁r⚀r|⚀r|⚀r|⚁r|⚁r|⚁r|⚁r⚀r|⚁r|⚁r|⚁r|⚁r|⚁r|⚁r⚀r|⚀r⚀r⚀r□r|⚀r|⚁r|⚁r⚀r⚀r|⚁r|⚀r⚀r|⚁r|⚁r|⚀r⚀r⚀r⚀r□r|⚀r⚀r|⚀r|⚁r□r|⚀r⚀r|⚁r□r⚀r⚀r|⚀r⚀r|⚁r⚀r|⚀r|⚁r|⚁r⚀r|⚀r|⚁r|⚁r|⚀r|⚁r⚀r⚀r|⚁r|⚀r|⚁r|⚁r□r□r|⚀r⚀r⚀r⚀r|⚀r⚀r|⚁r|⚁r|⚀r|⚁r|⚀r⚀r⚀r|⚀r⚀r|⚁rr|□r□r|⚁r⚀r⚀r|⚁r|⚁r⚀r⚀r|⚀r|⚁r⚀r|⚀r|⚁r|⚁r⚀r|⚀r⚀r|⚁r□r⚀r|⚁r⚀r|⚀r|⚁r|⚀r⚀r⚀r|⚁r|⚀r⚀r|⚁r|⚀r|⚁r|⚁r|⚁r|⚀r⚀r⚀r⚀r|⚀r□r|⚁r|⚁r⚀r|⚁r⚀r|⚄r|⚄r|⚄T|⚃p|⚃T|⚂T|⚃r|⚃r|⚃r|⚂T|⚃r|⚂r|⚃r|⚂r|⚄p|⚃r|⚃T|⚂r|⚄r,1,0.4837973713874817,0
61,r|⚁r|⚁r|⚀r⚀r|⚀r⚀r⚀r|⚁r|⚁r□r⚀r|⚁r|⚁r⚀r⚀r□r|⚁r⚀r|⚀rr⚀r|⚀r|⚁r|⚁r|⚁r⚀r□r⚀r|⚀r⚀r|⚁r⚀r|⚀r⚀r|⚀r⚀r|⚀r⚀r⚀r|⚁r|⚁r|⚁r⚀r|⚁r|⚁r|⚁r□r|⚁r|⚀r|⚁r|⚀r|⚀r□r⚀r|⚁r|⚀r|⚁rr|⚁r□r□r|⚀r⚀r|⚁r|⚀r|⚁r⚀r|⚁r⚀r|⚁r|⚁r|⚀r|⚁r|⚀r⚀r⚀r⚀r|⚀r□r⚀r|⚁r□r|⚁r|⚁r|⚀r|⚁r|⚀r□r|⚀r|⚁r⚀r⚀r⚀r|⚁r|⚀r|⚁r|⚁r|⚀r|⚁r⚀r|⚀r⚀r□r|⚀r|⚀r□r⚀r|⚁r□r□r□r□r|⚁r|⚁r⚀r|⚁r|⚁r|□r⚀r|⚁r⚀r|⚁r⚀r|⚁r⚀rr|⚀r⚀r|⚀r⚀r|⚀r⚀r|⚁r|⚀r⚀r⚀r|⚁r|⚁r⚀r⚀r|⚁r⚀r|⚀r⚀r|⚀r⚀r|⚁r□r□r□r|⚀r|⚁r|⚀r□r⚀r|⚁r⚀r|⚀r⚀r|⚀r|⚀r,0,0.830233097076416,1
65,r|⚂r|⚂r|⚃r|⚂r|⚂T|⚂r|⚁p|⚁rr|⚂p|⚃r|⚂T|⚃r|⚁r|⚀rT|⚂TT|⚂r|⚂r|⚂T⚀T|⚃r|⚃r|⚃p|⚃p|⚂r□r|⚃r|⚁r|⚂rr|⚃rr|⚁r⚀r|⚂r⚀r|⚂T|⚁rrrr|⚁r|⚂r|⚃r|⚂r|⚂r|⚁r|⚂r|⚃r|⚂r|⚂r|⚂r|⚂r|⚃r|⚂r|⚁T|⚂T|⚂T|⚂r|⚁r|⚃r|⚂rr|⚂Tr|⚁T|⚃r□rr□r□p|⚂r|⚂r|⚁r|⚂r|⚃r|⚂r|⚁p|⚁r|⚁r|⚁r|⚃rr|⚂r|⚁r|⚂rr|⚁r|⚁r|⚂rr|⚁r|⚂r|⚂r|⚂r|⚂r⚀r|⚂r|⚃r|⚄r|⚂r|⚂r|⚁p|⚂p|⚃r|⚂r|⚂r|⚂r|⚃T|⚃r|⚂r|⚂T|⚂r|⚂r|⚃r|⚃r|⚂r|⚂r|⚂r|⚂r|⚁r|⚃r|⚁r|⚁p|⚃r|⚂r|⚂r|⚃r|⚁r|⚂T|⚃r|⚄r|⚁r|⚂r|⚁r|⚁r|⚄r|⚃r|⚄r|⚂r|⚂T|⚃r|⚂r⚀r|⚂r|⚄r|⚂T|⚂T|⚂r|⚂rr|⚂r|⚂r|⚁r|⚂r|⚂r|⚃r|⚁r|⚃r|⚃r|⚂r|⚂r|⚂r|⚂r|⚃r|⚂r|⚂r|⚁r|⚂r|⚁r|⚃r|⚃r|⚂r|⚃r,0,0.6840153932571411,1
76,r⚀r⚀r|⚁r|⚁r|⚁r⚀r⚀r|⚁r|⚀r|⚁r⚀r|⚁r|⚁r|⚁r|⚁r|⚀r|⚁r|⚀r|⚁r|⚁r|⚀r⚀r|⚁r⚀r⚀r⚀r□r⚀r|⚁rr|⚁r⚀r|⚀r⚀r|⚀r⚀r|⚁r|⚀r⚀r□r⚀r⚀r⚀r|⚀r⚀r|⚁r|⚁r|⚀r|⚁r|⚀r⚀r|⚁r⚀r⚀r⚀r|⚀r|⚁r□r|⚀r|⚁r|⚁r|⚁r|⚀r|⚁r|⚁r⚀r|⚁r|⚁r|⚁r|⚁rr|⚀r⚀r|⚀r⚀r|⚁r|⚁r|⚁r□r|⚁r⚀r|⚀r⚀r|⚀r□r⚀r|⚁r|⚀r⚀r|⚀r⚀r|⚁r⚀r⚀r|⚁r⚀r|⚁r⚀r⚀r|⚁r|⚀r⚀r□r⚀r|⚀r□r□r⚀r|⚀r⚀r|⚀r|⚁r|⚁r|⚀r|⚁r⚀r|⚀r|⚁r□r|⚀r|⚁r|⚀r|⚁r|⚁r□r|⚀r□r|⚁r⚀r|⚁r|⚀r⚀r|⚁r|⚁r|⚁r|⚁r⚀r|⚀r|⚁r⚀r|⚁r□r|⚀r⚀r|⚁r|⚁r⚀r|⚀r|⚁r⚀r⚀r|⚀r|⚁r,0,0.9315338134765625,1
80,T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚀T|⚁T⚀T|⚁T|⚀T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚀T|⚁T|⚁T⚀T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚀T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚀T|⚁T|⚁T|⚁T□T|⚁T|⚁T⚀T|⚁T|⚁T|⚀T|⚁T|⚁T|⚀T|⚁T|⚁T|⚁T|⚁T□p|⚀T⚀r|⚁T|⚁T|⚀r|⚁r|⚁r⚀T□r□r|⚁r|⚁T|⚁T|⚁T⚀T|⚂T□T□Tr⚀r|⚁T|⚁T⚀r|⚁T|⚁T□r|⚁Tp|⚁r|⚁T|⚁T⚀p|⚁T|⚀r|⚁T|⚁T|⚁T⚀Tr|⚁T|⚁r|⚁T⚀T|⚁T⚀r|⚁T|⚁T|⚁T|⚀T,0,0.7863245606422424,1
83,T|⚁T|⚁T|⚁T|⚂T□T□T⚀T|⚀T|⚀T⚀T⚀T|⚁T□TT|⚂T|⚁T|⚂T□T|⚁T□T|⚁T|⚁T|⚁T|⚂T|⚁T|⚁T|⚂T|⚁T|⚁T□T|⚁T|⚁T|⚁T⚀T|⚁T|⚁T|⚁T|⚁TT|⚁T|⚁T|⚁T⚀T|⚁T□T|⚁T|⚂T|⚂T|⚁T|⚁T|⚁T|⚂T|⚁T□T|⚁T⚀T|⚂T|⚂T⚀T|⚁T|⚂T|⚁T|⚁T⚀T|⚁T|⚂T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚂T|⚁T|⚂T|⚁T|⚂T|⚂T|⚁T|⚁T|⚁T|⚁T|⚁T|⚀T|⚁T|⚂T|⚁T|⚃TT|⚁T|⚁T|⚁T□T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁TT|⚁T|⚁T|⚀T⚀T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T□T□T|⚀T|⚁T|⚁T|⚁T|⚁T|⚁T|⚀T⚀T|⚀T|⚁T|⚀T|⚁T⚀T|⚁T|⚀T|⚁T|⚀T|⚁T|⚀T|⚁T⚀TT□T|⚁T|⚀T|⚀T⚀T|⚁T|⚀T|⚀TT|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚁T|⚂T⚀T|⚁T|⚂T|⚁T|⚂T|⚁T|⚁T|⚁T|⚀T|⚁T|⚁T⚀T|⚁T⚀T|⚀T|⚁T|⚁T|⚁T⚀T|⚂T|⚁T|⚂T|⚂T|⚁T□T□T|⚂T|⚁T|⚂T|⚂T□T|⚂T|⚂T|⚃T|□T|⚃T|⚃T|⚄T|⚁T|⚃T|⚄T|⚄T|⚂T,0,0.597836434841156,1
