,comment,true_label,predicted_value,predicted_label
10,(Ut)(EEEEHt)|(qt)(EEEEHmmt)|(EEEEmt)|(t)(HmUt)|(t)|(t)(t)|(mqt)|(t)|(t)|(EHt)(mmqt)|(t)(t)|(t)|(EHt)|(t)|(EHUt)|(Et)|(EEEEmmt)|(mt)(t)|(EEEEHHt)|(Ht)|(t)|(t)(EEEt)|(t)|(Ht)(t)|(EEmt)|(EHHt)|(qt)|(qt)|(mmt)|(EEHt)(mt)(EEEEHt)|(EEEEHt)|(qt)|(EEEmmt)|(EEHt)|(Et)|(EEEEmmmt)|(t)|(t)|(mq)|(EEEEHt)|(mmmmmmmqt)|(Et)(mmt)(Et)(Et)(Et)(t)(mqt)(Et)(Et)(Et)|(qt)|(mqt)|(mt)|(EEHt)|(t),1,0.17756272852420807,0
12,(t)|(t)|(t)|(t)|(Ht)|(t)(t)|(t)(t)(t)|(t)(t)|(t)|(t)|(t)|(t)|(t)|(t)|(t)(t)(t)(t)(t)(t)|(t)(mt)(t)(t)|(HHHt)|(t)(t)(t)|(t)|(t)(t)|(t)|(t)|(t)|(t)|(t)|(t)(t)|(t)(t)(t)(t)(t)|(t)|(t)|(t)|(t)|(t)(t)(t)|(t)|(t)|(t)|(t)(t)(t)(mt)|(Ht)|(t)|(t)|(t)|(t)|(t)(t)(t)|(t)(t)|(t)|(t)|(t)|(t)(t)(t)|(t)|(t)(t)(mt)|(mt)(t)|(t)|(t)|(t)|(t)|(t)|(t)|(t)|(t)|(t)|(t)(t)|(t)(t)|(t)(t)|(t)|(t)|(t)(t)(t)|(t)|(t)|(t)|(t)|(t)|(mt)(mt)|(t)(t)|(t)(t)|(t)|(t)(t)|(t)|(Ht)|(t)|(t)(mt)|(t)(t)(t)|(t)|(t)|(t)|(t)|(t)(t)|(t)|(t)|(t)|(t)|(t)|(t)|(t)|(t)(t)|(t)|(t)|(t)|(t)|(t)(t)|(t)(t)|(t)|(t)|(t)|(t)(t)|(t)|(t)|(t)|(t)|(mt)(t)|(t)|(t)|(t)|(t)|(t)|(t)|(t)|(t)|(t)|(t)(t)|(t)|(t)(t)|(t)|(t)(t)|(t)|(t)(t)|(t)(t)|(Ut)|(Ut)|(Ut)|(Ut)|(Ut)|(Ut)|(Ut)|(Ut)|(Ut)(Ut)|(t)|(Ut)|(Ut)|(Ut)|(Ut)|(Ut)|(Ut)|(Ut)|(Ut),0,0.7680607438087463,1
24,(Ht)(HHHUt)(Ut)|(Et)|(HHHHHHUt)|(mUt)|(qt)(HHUt)|(qt)|(EEHt)(EHHHUt)|(Ut)|(Ut)|(HHHHHHqt)|(qt)|(Ut)|(HHHHHHHHUqt)|(Ut)(HUt)|(U)|(t)(HHHHHHUqt)|(t)|(Ht)|(Ut)(Ut)|(HHHmmqt)|(qt)|(Hmqt)|(HHHqt)|(mmqt)(HHHHHHHHHUqt)|(HHHUqt)|(Emmmmmt)|(E)|(mt)(HHmqt)|(t)|(Ut)|(qt)(qt)|(Ut)|(HHHHqt)(Ht)|(qt)|(HHHHHHHHHHUqt)|(HHHUt)(HHHHHmt)(qt)|(Et)|(HHUt)|(HHHt)|(EEHHt)|(EHHt)|(Ht)(Ut)|(EUt)|(t)|(mqt)|(EHHHHmt)(EHHt)(EHt)(HHUt)|(HHUqt)|(Ut)|(Ut)|(Ut)(Ut)|(Emt)|(HmmUqt)|(Ut)(Ut)|(Ut)(Ut)|(HHHHUt)|(mmqt)|(Ut)|(Et)|(Ut)|(EHHUUt)(HUUqt)(EHHHUt)|(Uqt)|(EHt)(UU)|(t)|(Et)(HHHHHHHHqt)|(HmUt)|(HHqt)|(HHHHmmmmmqt)|(mmmmmmqt)|(mt)|(Ut)|(qt)|(Ut)(t)(EHt)|(Hqt)(EUt)|(Hmqt)(Hqt)|(UUt)(U)|(HmUt)|(HHqt)(mqt)|(Et)|(φt)(Ut)|(Hmqt)|(HHHHqt)|(HHHHHHHHHHHUqt)|(Et)|(HHHUt)(HHmqt)(Ut)|(HHqt)(Emt)|(mt)(HUt)|(EHHHHHUt)|(HHHUt)|(HHUt)|(Ut)|(EUt)|(Ht)|(mmmt)|(qt)|(Hqt)|(HHHHqt)(HHHHHHHHHHHUqt)(HHmmUUt)|(Ut)|(Ut)(Ut)|(HHqt)|(Ut)(mUt)|(qt)(mmmmmqt)|(qt)|(qt)|(qt)|(HmUt)(HmmUt)|(qt)(t)(t)(t)(t),0,0.965909481048584,1
25,(Ut)(UUt)|(Emt)|(HmUqt)|(Hqt)(t)(t)|(HHHUt)|(qt)|(qt)(Hmqt)|(Hmt)|(EUt)(mmmqt)|(qt)|(t)(Ut)|(qt)|(qt)|(EEEEt)|(EHUt)|(EHH¤¤¤Ut)|(HHUt)(mUt)|(EHt)|(HHt)|(Ut)|(E)|(U)|(qt)|(Et)|(Hqt)(EHHt)|(EHHmmt)(Ut)(E)|(mUt)|(HmmUqt)|(Ut)|(H¤¤qt)|(HHmmUt)(EHHt)(EHt)|(EHUt)|(mqt)(Uqt)|(Hqt)(HHt)(EHHHt)|(Hmt)(Hmmqt)|(Hmqt)(HHHUt)(Ut)|(HmUqt)(t)(qt)(mt)|(Ut)|(UUt)|(HHHUt)(Hm)|(mqt)(HHHHHHUt)(Ht)|(EHUt)|(qt)|(EHHt)(qt)(HHHHHHHHqt)|(HHHHUt)(HHHHHHqt)(Et)(HUt)|(mmUt)|(HHHHHHHqt)(U)(U)|(HHHH¤t)|(qt)(Hmqt)|(mmmmmqt)(mmmmt)(EUt)|(Et)|(Et)(Ut)|(Ut)|(Et)|(Ut)(qt)(EHUt)|(t)|(mmmmmqt)|(HHt)|(mmqt)|(HHHHqt)|(HHHmmqt)(EHmt)|(mqt)|(EHHHHHUt)(EUt)(Ut)(HHHHHHHHHHqt)(EmUt)|(mmmmqt)(HHHHUqt)|(qt)(HHHqt)|(EHHUt)|(HHHHHUt)(HHHHHUt)(HHUt)(HHHHHUt)|(Et)(qt)|(mmmmqt)(EEt)(EEHmt)|(EEHmt)|(EHt)(EHmt)(EHmt)|(HHHq)(EEHHt)|(mmmmmmmqt)(HHmmmUt)(HHmUt)|(t)|(t)|(t)|(t)|(mt)|(t)|(qt)|(qt)|(mt)|(mqt)|(EHHHt)|(t)|(mqt)|(Ut)(mt)|(t)|(qt)|(t)(t)|(t)(mt)|(mqt)|(qt)(mt)|(mt)|(t)(mt)(t)(mt)|(mt)|(mt)(t)|(mmmt)|(mt)|(t)|(t),1,0.498850017786026,0
27,(HHHmmUt)(HHHHHHqt)(HHHHHqt)|(qt)|(HHqt)(Hqt)|(mmmmmmqt)|(HHUt)|(U)(HHHHHUt)|(qt)|(EEEEHHH)|(EHUt)(mmqt)|(mUt)(Ut)(qt)|(mmqt)|(HmmUt)|(mmmmmmmmqt)(HUt)(Ut)|(UU)|(Ut)|(Emt)(Em)|(qt)|(Hqt)(Ut)(t)(t)(t)|(HHmmmt)(qt)|(EUt)(HHHUt)(mmqt)|(Hmmqt)|(qt)(Ut)(EHt)|(t)|(t)|(mt)|(Ut)|(Ut)(EUUt)(qt)|(mt)|(Ut)|(Ht)(HHHHHt)(HH)|(mUt)|(HHt)|(HUqt)(t)|(t)(EHt)|(HUt)|(EHHt)|(EHHHt)(qt)|(EHHmmt)(EUt)(Ut)(mqt)|(mUt)(HHHUt)(Ut)(Ut)|(Ut)|(HHHHHqt)|(¤¤¤Ut)|(H¤¤qt)|(EHHt)|(EHt)(Ut)(Et)|(EHUt)(Ut)|(HHHUt)(Ut)|(EHHHt)(qt)|(HHmUt)(qt)|(HHHt)|(UUt)|(HHHUt)|(mqt)(t)(Ht)|(Hqt)|(qt)(Hmt)|(Emt)|(HHqt)|(HHHH¤t)(U)|(HmmUqt)(EEHHHHHHHUt)|(mmmmmmqt)|(Et)|(mmUt)(Hmmqt)|(HHHUt)(Ut)|(HHqt)|(HHHHqt)|(HHHmmqt)(EHmt)(Hmmmqt)|(mqt)|(EUt)|(mmmmmqt)(qt)|(HHHqt)|(Et)(HHHHHHUt)(Ut)|(EHHHmmmt)|(Et)(HUt)(HHHHHHqt)|(mUt)|(mmmmqt)(mmmmqt)(EHmt)(EEHmt)(Ut)|(HHHHUt)|(EEHmt)(EHmt)(EHHHUUt)|(HHHmmqt)(HHHq)(EEHHt)|(HHUt)(HHmUt)|(mt)|(mt)|(mt)|(mt)|(Emt)|(t)|(mqt)|(mt),0,0.5984570384025574,1
43,(Ut)(Ut)(qt)(qt)(HUt)(t)(qt)(qt)(qt)(qt)(qt)(mqt)(qt)(qt)(Ut)(qt)(HUt)(qt)(t)(qt)(qt)(t)(Ut)(qt)(mmqt)(mmqt)(qt)(qt)(qt)(qt)(qt)(qt)(qt)(qt)(qt)(qt)(qt)(Ht)(Ut)(qt)(Ut)(Hqt)(Ut)(Ut)(Ut)(Ut)(Ut)(Ut)(Ut)(qt)(Ut)(Ut)(Ut)(Ut)(Ut)(HUt)(Et)(qt)(qt)(mUt)(qt)(qt)(qt)|(qt)(t)(EHt)(EHHt)(qt)(HHUt)(qt)(t)(Ut)(Ht)(qt)(qt)(HUt)(HmUt)(HmUt)(HUt)(EHt)(Hqt)(qt)(HUt)(Hqt)(EHt)(qt)(Hmt)(Hqt)(HUt)(HHmmqt)(qt)(mqt)(Ut)(Ut)(Ut)(Ut)(qt)(Et)(qt)(Hqt)(qq)(qt)(qt)(qt)(Hqt)(Hqt)(qt)(mmmmmmqt)(Ut)(Hqt)(Hqt)(qt)(qt)(qt)(qt)(qt)(Hqt)(Hqt)(HHHHqt)(EHt)(qt)(qt)(qt)(Hmmqt)|(Ut)(HUt)(Ut)(Ut)(Ut)(Ut)(qt)(qt)(qt)(qt)(qt)(Ut)(Ut)(qt)(Ut)(Ut)(Ut)(mUt)|(Ut)(qt)(t)(t)(t)(qt)(qt)(qt)|(qt)(φt)(qt)(Ut)(qt)(qt)(mUt)(qt)(qt)(mmφt)(qt)(qt)(mUt)(Ut)(qt)(mmmmmφt)(Ut)(t)|(Ut)(Ut)|(Ut)(HUt)(qt)(Ut)(Ut)(HUt)(Ut)(Ut)(Hqt)(Ut)(Ut)(qt)(qt)(Ut)(Ut)(Ut)(HUt)(HUt)(qt)(qt)(Hqt)(HUt)(Ut)(Ut)(Ut)(qt)(qt)|(qt)(qt)(Ut)|(qt)(qt)(qt)(mqt)(t)(t)(t)(t)(qt)(Ut)(Ut)(t)(t)(qt)(qt)(mqt)(t)(mmt)(qt)(t)(qt)(qt)(mqt)(t)(t)(qt)(t)(qt)(qt)(t)(Ut)(mmt)(t)(t)(t)(t)(qt)(qt)(qt)(t)(qt)(qt)(mmt)(Ut)(mqt)(qt)(t)(t)(Ut)(t)(t)(Et)(t)(E)(mmmqt)(mmqt)(t)(t)(mqt)(mmmmqt)(qt)(Ut)(t)(Ut)(qt)(Ut)(mt)(mqt)(t)(qt)(t)(t)(qt)(qt)(mt)(t)(mqt)(HHt)(Ut)(t)(qt)(t)(mmmqt)(t)(E)(t)(Ut)(qt)(t)(t)(t)(Ut)(qt)(t)(qt)(qt)(Ut)(t)(qt)(Ut),1,0.3526252508163452,0
48,(HHHHHHUqt)|(EHmt)(mUt)|(Hqt)(HUt)|(qt)|(Ut)|(HHHHUt)|(Et)|(HHHqt)|(HHmUqt)(HHHHHmUqt)(HHt)|(HHmt)|(Et)|(qt)(Ut)|(EHt)(HHHHHHHUqt)|(HHHHHHHHHHHqt)|(Ut)(EHHmmUt)|(EHt)|(Et)|(qt)(mUt)(Ut)|(Hmmmt)|(EHt)|(HHHHHHHHHqt)|(Ut)(EHHt)(mqt)|(HHHHmqt)|(Ut)|(Ut)|(t)|(Ut)|(Ut)(t)|(Ut)(EHt)|(HHmqt)(qt)|(HHHHHHUt)(HHHUt)(mmmt)|(qt)|(EHmUt)|(mUt)|(HHHHHqt)|(Ut)|(Et)(HHHHHHHUqt)|(Ut)|(HmUt)|(Ut)|(HHHUt)(EHt)|(Hmqt)|(HHHHHHUt)(EEHmUt)|(U)(HHHHHt)|(EHHHHHmt)|(mmUt)|(Ut)(qt)|(HHHHHHHHUqt)(Ut)|(EHHHHHHHHHmU)(qt)|(qt)(Et)|(qt)(EHUt)(EHHHUt)|(HHmUt)|(UUt)|(mUt)|(t)(Uqt)|(Et)(EHHHmt)(Et)|(EHHHHt)(HHHHHt)|(t)|(EHH)|(mqt)|(mUt)|(HHUt)|(HHqt)|(HHqt)(EHHHUt)|(HHHHt)(HHHHHt)|(HHUt)|(mUt)(mUt)|(EHHHHt)|(EHt)(mUt)|(EHt)|(EEEEUt)(U)|(Ut)|(HHHUqt)(EHHHHHt)|(Et)|(HHmqt)(Ht)|(qt)|(qt)|(Et)|(¤¤¤¤¤Ut)(EHHHHt)|(mqt)(mmqt)|(mmUUt)|(mqt)|(HHHmUt)|(Ut)|(Ut)|(qt)|(HHqt)|(Et)|(EHHHH)(HHHHmUqt)|(Ut)|(EHHHHHHt)|(EHHHHHt)|(Ut)|(HHUt)|(EHHHHUt)(Uqt)|(HHHHHUt)(qt)|(mUt)|(mt)|(UUt)|(HHUt)(EHmt)|(EHHHUt)|(qt)|(qt)|(HmmUt)|(HHmqt)(mUqt)(HHHHHHHH)|(HHHHUqt)|(EHHt)|(qt)|(Ut)(t)(t)|(EHHHHHHUt)|(t)(HHHHH¤¤¤¤Ut),1,0.44975557923316956,0
59,(mt)|(t)(t)(t)(t)(t)(mt)(t)|(t)(t)(t)(mt)|(t)(mt)(t)(t)(t)(mt)(t)(t)|(t)|(mt)(t)(mt)(mt)(mt)(t)|(t)|(mt)(mt)(t)(mmt)(mt)(t)(mt)(t)(mt)(mt)(mt)|(t)|(t)|(t)(mt)(mmt)(t)|(mt)(t)(t)(t)(mt)(Hmmt)(Hmt)(t)(Hmt)(Hmmt)(Hmmt)(Hmmt)(t)(mt)(t)(mt)(t)|(t)|(t)|(t)|(t)(mt)|(mt)|(mt)(mt)(t)(mt)(t)(t)(t)(mt)(t)(t)(t)(t)(t)|(t)|(mt)(mt)(t)(t)(Ht)(mt)(t)(t)|(t)|(t)|(t)|(t)(mt)(mt)(mt)(t)(t)|(t)|(t)|(t)(mt)(t)|(t)|(t)|(t)(t)|(t)(t)|(t)(t)(t)|(mmt)|(t)|(t)|(t)|(t)(t)|(t)(t)|(t)|(mt)(t)(t)|(Hmmmmt)(mt)|(t)|(mt)(t)(t)(t)(mt)|(mt)|(t)|(t)|(Ht)|(t)|(t)|(mt)|(t)|(t)|(t)|(t)|(t)(Ht)|(t)|(t)(mt)|(t)(t)|(t)(t)(mt)|(t)|(t)(t)(t)(t)|(t)(t)|(t)|(t)(mt)|(t)|(HHt)(Ht)|(t)|(t)|(t)(mt)|(t)(t)(mt)|(mt)(mt)|(mt)(t)(t)|(mt)|(t)(t)(t)(Ht)(Ht)(t)(t)(t)(Ht)(t)(t)(Ht)|(mt)|(t)|(t)|(t)|(t)|(t)|(Ht)(Ht),1,0.298215389251709,0
79,(HHHHHmmmmU)|(HHmUqt)|(Hmmmt)(EEE)|(Ut)(Ut)|(EUt)|(EHHHHmt)(HHt)|(HHHHHHHHHUqt)(HUt)(EHHt)|(HmUt)|(qt)|(mmmmqt)|(qt)(EHHHmt)|(HHHHHqt)(Ut)|(EUt)|(EUt)|(HHHHUt)|(mmmmmqt)|(t)|(mmqt)|(Ut)(Ut)|(EHHHHHUt)|(HHt)|(HUt)|(HHUUt)|(U)|(E¤¤mUt)|(HHUt)(Ut)(EHt)|(HHqt)|(Hmmmmmqt)|(HUt)(mmmmmmmmqt)|(HmUt)|(qt)|(mt)|(Hqt)|(qt)|(Hqt)|(Hmqt)(Ut)(EHUt)|(mUqt)|(Hmmt)|(HHHHHHHmU)(HHqt)|(HHHφqt)(Ut)|(HUqt)|(HHUUt)|(Ut)(φt)(HUt)|(EHt)|(HHHHHHHHHHHUqt)|(HHHHHHHHHHHUqt)(Et)|(mt)|(HHHHHHUqt)|(Ut)|(HHqt)|(Uqt)(EHUt)|(HmUqt)|(Ut)|(HHmmqt)|(HHHmt)(EHt)(HUt)|(Ht)|(Et)|(HHHHHHHHHHHUqt)(HHmmUUt)(mqt)|(Ut)(EHmmUt)|(Ut)|(HHHHHHUt)|(qt)|(Ut)|(E¤¤¤Ut)(mmmmmqt)|(EHHt)(qt)|(HHt)|(HUt)(Et)|(Ut)(qt)|(HHHHHqt)|(HmUt)|(Hqt)|(qt)|(HHqt)|(Hmqt)(Ut)(Ut)|(Ht)|(HUqt)(EHHHHHHt)|(HHHHUqt)(qt)(Hmt)|(t)|(mqt)(EHmmt)(mmqt)|(mmqt)(mmqt)(HHHUt)|(HHHHUt)(mUt)(Et)(mmmmmmmmqt)|(mUt)(Ut)(mmmqt)(EHt)|(Ut)(Ut)|(Em)|(HHHHHHHU)(Hqt)|(E)|(U)(HHmmmt)(EHHHUt)|(qt)|(EUt)|(Ut)|(Hqt)|(HHqt)|(mt)|(EHHHUt)|(HmmUt)|(qt)|(EHHt)|(Ut)|(t)|(HHHmmUt)|(HHHHHt)|(HHHHHHHHHqt)|(qt)|(qt)|(HUt),1,0.36048638820648193,0
84,(Ut)|(Ut)|(Ut)|(Ut)(Ut)|(Ut)|(t)|(Ut)|(UUt)|(Ut)|(Ut)|(Ut)|(Ut)|(Ut)|(Ut)|(Ut)|(Ut)|(Ut)|(t)|(Ut)|(Ut)|(Ut)|(t)|(Ut)|(Ut)|(Ut)|(Ut)|(t)|(HUt)|(Ut)|(Ut)|(Ut)(t)|(Ut)|(t)|(Ut)|(Ut)|(Ut)|(Ut)|(Ut)|(Ut)|(Ut)|(Ut)|(Ut)|(Ut)|(t)|(Ut)|(Ut)|(Ut)|(Ut)|(Ut)|(Ut)|(Ut)|(Ut)(Ut)|(Ut)|(Ut)|(Ut)|(Ut)|(Ut)|(Ut)|(UUt)(Ut)|(t)|(UUt)|(UUt)|(UUt)|(Ut)|(Ut)|(UUt)(t)|(Ut)|(t)|(Ut)|(t)|(UUt)|(UUt)|(UUt)|(HUt)|(UUt)|(t)|(Ut)|(t)|(Ut)|(UUt)|(HUt)|(UUt)|(Ut)|(Ut)|(UUt)|(Ut)|(Ut)|(Ut)|(Ut)|(Ut)|(Ut)|(Ut)|(Ut)|(Ut)|(Ut)|(Ut)|(Ut)|(Ut)|(Ut)|(Ut)|(HHUt)|(Ut)|(Ut)|(Ut)|(Ut)|(Ut)|(Ut)|(Ut)|(Ut)(HHUt)|(Ut)|(Ut)|(Ut)|(Ut)|(HUt)|(Ut)|(Ut)|(UUt)|(HmUt)|(Ut)|(Ut)|(Ut)|(Ut)|(Ut)|(t)|(t)|(UUt)|(t)|(t)|(Ut)|(Ut)|(Ut)|(t)|(t)|(Ut)|(Ut)|(UUt)|(Ut)|(t)|(Ut)|(Ut)|(UUt)|(Ut)|(Ut)|(Ut)|(UUt)|(Ut)|(Ut)|(UUt)|(Ut)|(Ut)|(Ut)|(Ut)|(Ut)|(UUt)|(Ut)|(Ut)|(UUt)|(Ut)|(t)|(t)|(HUt)|(t)|(Ut)|(Ut)|(Ut)|(Ut)|(mmmmmt)(t)(Ut)|(Hmt)|(Ut)|(Ut)|(Ut)|(Ut)|(t)|(UUt)|(UUt)|(HHHmUt)|(Ut)|(Ut)|(Ut)|(Ut)|(Ut)|(Ut)|(Ut)|(Ut)|(Ut)|(t)|(Ut)|(UUt)|(Ut)|(Ut)|(Ut)|(Ut),0,0.824652910232544,1
